 ******* Program HYDRUS
 ******* Root uptake with meteorological data                                    
 Date: 474.71.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 

 CosAlf,MaxIt,TolTh,  TolH
 1.000   20   0.001 1.00000

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lChem,lTemp,lRoot,lWDep
     T     F     T     T     F     F     F     T     T     F     F     F     F

Nodal point information

node      x         hOld    MatN LayN  Beta      Ah       AK      ATh     Temp    Conc(1...NS)         Sorb(1...NS)

   1      0.000    -70.561    1    1   0.000    1.000    1.000    1.000
   2    -10.000    -70.561    1    1   0.000    1.000    1.000    1.000
   3    -20.000    -70.561    1    1   0.000    1.000    1.000    1.000
   4    -30.000    -70.561    1    1   0.000    1.000    1.000    1.000
   5    -40.000    -70.561    1    1   0.000    1.000    1.000    1.000
   6    -50.000    -70.561    1    1   0.000    1.000    1.000    1.000
   7    -60.000    -70.561    1    1   0.000    1.000    1.000    1.000
   8    -70.000    -70.561    1    1   0.000    1.000    1.000    1.000
   9    -80.000    -70.561    1    1   0.000    1.000    1.000    1.000
  10    -90.000    -70.561    1    1   0.000    1.000    1.000    1.000
  11   -100.000    -70.561    1    1   0.000    1.000    1.000    1.000
end

 Number of species in the chain :   0


MatNum, Param. array:

   Mat     Qr     Qs        Alfa         n          Ks      l

    1    0.095  0.410   0.190E-01   0.131E+01   0.340E+01  0.500

       Table of Hydraulic Properties which are interpolated in simulation
       =================================================================

  theta         h        log h        C             K        log K          S          Kv

  0.4100  -0.100E-05 -0.6000E+01  0.7496E-05  0.3373E+01  0.5280E+00    1.0000  0.0000E+00
  0.4100  -0.126E-05 -0.5899E+01  0.8057E-05  0.3371E+01  0.5277E+00    1.0000  0.0000E+00
  0.4100  -0.159E-05 -0.5798E+01  0.8659E-05  0.3368E+01  0.5274E+00    1.0000  0.0000E+00
  0.4100  -0.201E-05 -0.5697E+01  0.9306E-05  0.3366E+01  0.5271E+00    1.0000  0.0000E+00
  0.4100  -0.254E-05 -0.5596E+01  0.1000E-04  0.3363E+01  0.5268E+00    1.0000  0.0000E+00
  0.4100  -0.320E-05 -0.5495E+01  0.1075E-04  0.3361E+01  0.5264E+00    1.0000  0.0000E+00
  0.4100  -0.404E-05 -0.5394E+01  0.1155E-04  0.3358E+01  0.5261E+00    1.0000  0.0000E+00
  0.4100  -0.509E-05 -0.5293E+01  0.1242E-04  0.3355E+01  0.5256E+00    1.0000  0.0000E+00
  0.4100  -0.643E-05 -0.5192E+01  0.1335E-04  0.3351E+01  0.5252E+00    1.0000  0.0000E+00
  0.4100  -0.811E-05 -0.5091E+01  0.1434E-04  0.3348E+01  0.5247E+00    1.0000  0.0000E+00
  0.4100  -0.102E-04 -0.4990E+01  0.1542E-04  0.3344E+01  0.5242E+00    1.0000  0.0000E+00
  0.4100  -0.129E-04 -0.4889E+01  0.1657E-04  0.3340E+01  0.5237E+00    1.0000  0.0000E+00
  0.4100  -0.163E-04 -0.4788E+01  0.1781E-04  0.3335E+01  0.5231E+00    1.0000  0.0000E+00
