 ******* Program HYDRUS
 ******* Root uptake with meteorological data                                    
 Date: 474.71.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       14  0.1000000E+01  0.20873E+00    2       28    -4    -2     T
       27  0.2000000E+01  0.21151E+00    2       54    -4     2     T
       30  0.3000000E+01  0.37500E+00    2       60    -4     2     T
       43  0.4000000E+01  0.21151E+00    2       86    -4     2     T
       46  0.5000000E+01  0.37500E+00    2       92    -4     2     T
       59  0.6000000E+01  0.21151E+00    2      118    -4     2     T
       72  0.7000000E+01  0.21151E+00    2      144    -4     2     T
       88  0.8000000E+01  0.11280E+00    5      197    -4     2     T
      101  0.9000000E+01  0.21151E+00    2      224    -4     2     T
      114  0.1000000E+02  0.21151E+00    2      250    -4     2     T
      127  0.1100000E+02  0.21151E+00    2      276    -4     2     T
      140  0.1200000E+02  0.21151E+00    2      302    -4     2     T
      153  0.1300000E+02  0.21151E+00    2      328    -4     2     T
      166  0.1400000E+02  0.21151E+00    3      356    -4     2     T
      170  0.1500000E+02  0.25000E+00    2      366    -4     2     T
      172  0.1600000E+02  0.66667E+00    2      370    -4     2     T
      185  0.1700000E+02  0.21151E+00    2      396    -4     2     T
      199  0.1800000E+02  0.16921E+00    4      435    -4     2     T
      212  0.1900000E+02  0.21151E+00    2      461    -4     2     T
      215  0.2000000E+02  0.37500E+00    2      467    -4     2     T
      217  0.2100000E+02  0.66667E+00    2      471    -4     2     T
      219  0.2200000E+02  0.50000E+00    2      475    -4     2     T
      232  0.2300000E+02  0.21151E+00    2      502    -4     2     T
      245  0.2400000E+02  0.21151E+00    2      528    -4     2     T
      248  0.2500000E+02  0.37500E+00    2      534    -4     2     T
      250  0.2600000E+02  0.66667E+00    2      538    -4     2     T
      263  0.2700000E+02  0.21151E+00    2      565    -4     2     T
      276  0.2800000E+02  0.21151E+00    2      591    -4     2     T
      279  0.2900000E+02  0.37500E+00    2      597    -4     2     T
      281  0.3000000E+02  0.66667E+00    2      601    -4     2     T
      298  0.3100000E+02  0.84603E-01    4      655    -4     2     T
      311  0.3200000E+02  0.21151E+00    5      689    -4     2     T
      324  0.3300000E+02  0.21151E+00    2      716    -4     2     T
      337  0.3400000E+02  0.21151E+00    2      742    -4     2     T
      350  0.3500000E+02  0.21151E+00    2      768    -4     2     T
      353  0.3600000E+02  0.37500E+00    2      774    -4     2     T
      366  0.3700000E+02  0.21151E+00    2      800    -4     2     T
      369  0.3800000E+02  0.37500E+00    2      807    -4     2     T
      371  0.3900000E+02  0.66667E+00    2      811    -4     2     T
      373  0.4000000E+02  0.50000E+00    2      816    -4     2     T
      374  0.4100000E+02  0.10000E+01    2      818    -4     2     T
      387  0.4200000E+02  0.21151E+00    3      847    -4     2     T
      669  0.4300000E+02  0.13885E-01    4     2328    -4    -2     T
      686  0.4400000E+02  0.84603E-01    2     2379    -4    -2     T
      691  0.4500000E+02  0.26786E+00    2     2392    -4    -2     T
      704  0.4600000E+02  0.21151E+00    2     2418    -4    -2     T
      708  0.4700000E+02  0.25000E+00    2     2428    -4    -2     T
      710  0.4800000E+02  0.66667E+00    2     2433    -4    -2     T
      723  0.4900000E+02  0.21151E+00    4     2463    -4    -2     T
      727  0.5000000E+02  0.44444E+00    2     2473    -4    -2     T
      729  0.5100000E+02  0.66667E+00    2     2477    -4    -2     T
      731  0.5200000E+02  0.50000E+00    2     2481    -4    -2     T
      744  0.5300000E+02  0.21151E+00    2     2507    -4    -2     T
      758  0.5400000E+02  0.14100E+00    2     2539    -4    -2     T
      762  0.5500000E+02  0.25000E+00    2     2551    -4    -2     T
      764  0.5600000E+02  0.66667E+00    3     2556    -4    -2     T
      778  0.5700000E+02  0.14100E+00    2     2589    -4    -2     T
      796  0.5800000E+02  0.81762E-01    6     2654    -4    -2     T
      810  0.5900000E+02  0.20873E+00    3     2688    -4    -2     T
      823  0.6000000E+02  0.21151E+00    2     2716    -4    -2     T
      826  0.6100000E+02  0.37500E+00    4     2724    -4    -2     T
      839  0.6200000E+02  0.21151E+00    2     2750    -4    -2     T
      852  0.6300000E+02  0.21151E+00    3     2778    -4    -2     T
      865  0.6400000E+02  0.21151E+00    2     2804    -4    -2     T
      878  0.6500000E+02  0.21151E+00    2     2830    -4    -2     T
      891  0.6600000E+02  0.21151E+00    2     2856    -4    -2     T
      895  0.6700000E+02  0.25000E+00    2     2866    -4    -2     T
      908  0.6800000E+02  0.21151E+00    2     2892    -4    -2     T
      921  0.6900000E+02  0.21151E+00    2     2918    -4    -2     T
      961  0.7000000E+02  0.16692E-01    2     3158    -4    -2     T
      975  0.7100000E+02  0.14100E+00    2     3191    -4    -2     T
      988  0.7200000E+02  0.21151E+00    3     3219    -4    -2     T
     1001  0.7300000E+02  0.21151E+00    2     3245    -4    -2     T
     1014  0.7400000E+02  0.21151E+00    2     3271    -4    -2     T
     1027  0.7500000E+02  0.21151E+00    2     3297    -4    -2     T
