

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000 -0.510000E+00  0.146450E-01 -0.510000E+00  0.146450E-01 -0.891640E-02   -277.816   -405.753   -500.000       1
     2.00000 -0.530000E+00  0.330700E-01 -0.530001E+00  0.330700E-01 -0.178328E-01   -371.291   -405.976   -500.000       2
     3.00000 -0.496056E+00  0.643960E-01 -0.496138E+00  0.643960E-01 -0.267497E-01   -431.546   -428.093   -499.974       3
     4.00000 -0.496056E+00  0.918790E-01 -0.496106E+00  0.918790E-01 -0.356714E-01   -443.439   -441.495   -499.800       4
     5.00000 -0.462478E+00  0.114391E+00 -0.462466E+00  0.114391E+00 -0.446066E-01   -482.665   -458.836   -499.390       5
     6.00000 -0.425347E+00  0.142181E+00 -0.425466E+00  0.142181E+00 -0.535757E-01   -514.041   -475.527   -498.603       6
     7.00000 -0.363988E+00  0.162007E+00 -0.363908E+00  0.162007E+00 -0.625876E-01   -573.453   -500.124   -497.612       7
     8.00000 -0.318183E+00  0.179222E+00 -0.318038E+00  0.179222E+00 -0.716453E-01   -595.642   -518.116   -496.461       8
     9.00000 -0.277535E+00  0.202088E+00 -0.277531E+00  0.202088E+00 -0.807505E-01   -615.794   -533.522   -495.259       9
    10.00000 -0.219581E+00  0.223838E+00 -0.219549E+00  0.223838E+00 -0.899015E-01   -675.775   -556.562   -494.113      10
    11.00000 -0.169124E+00  0.267209E+00 -0.169633E+00  0.267209E+00 -0.990947E-01   -709.632   -576.206   -493.095      11
    12.00000 -0.169124E+00  0.336740E+00 -0.170287E+00  0.336740E+00 -0.108321E+00   -656.477   -583.488   -492.293      12
    13.00000 -0.122451E+00  0.367016E+00 -0.122632E+00  0.367016E+00 -0.117565E+00   -774.209   -620.864   -491.768      13
    14.00000 -0.721331E-01  0.399647E+00 -0.723732E-01  0.399647E+00 -0.126817E+00   -844.658   -644.258   -491.564      14
    15.00000 -0.121308E-02  0.417441E+00 -0.108229E-02  0.417441E+00 -0.136064E+00  -1016.389   -682.131   -491.699      15
    16.00000  0.511129E-01  0.436466E+00  0.512129E-01  0.436466E+00 -0.145292E+00  -1048.768   -703.591   -492.167      16
    17.00000  0.101479E+00  0.463071E+00  0.101389E+00  0.463071E+00 -0.154492E+00  -1107.207   -726.473   -492.966      17
    18.00000  0.101479E+00  0.502830E+00  0.101061E+00  0.502830E+00 -0.163645E+00   -913.932   -722.146   -494.041      18
    19.00000 -0.268521E+00  0.536019E+00 -0.268938E+00  0.536019E+00 -0.172772E+00   -387.810   -586.945   -495.283      19
    20.00000 -0.268521E+00  0.536019E+00 -0.268730E+00  0.536019E+00 -0.181839E+00   -534.889   -576.592   -496.811      20
    21.00000 -0.217245E+00  0.580189E+00 -0.217823E+00  0.580189E+00 -0.190827E+00   -649.039   -599.428   -498.599      21
    22.00000 -0.347245E+00  0.594202E+00 -0.347815E+00  0.594202E+00 -0.199756E+00   -471.257   -562.612   -500.528      22
    23.00000 -0.222725E+01  0.594202E+00 -0.222781E+01  0.594202E+00 -0.208607E+00   -148.100   -271.279   -502.610      23
    24.00000 -0.317724E+01  0.613531E+00 -0.317782E+01  0.613531E+00 -0.217370E+00   -162.037   -210.012   -504.787      24
    25.00000 -0.315876E+01  0.642187E+00 -0.315939E+01  0.642187E+00 -0.226043E+00   -237.775   -243.611   -506.824      25
    26.00000 -0.313475E+01  0.665492E+00 -0.313533E+01  0.665492E+00 -0.234685E+00   -272.722   -270.575   -506.742      26
    27.00000 -0.308900E+01  0.691639E+00 -0.308962E+01  0.691639E+00 -0.243429E+00   -302.911   -292.827   -502.734      27
