 ******* Program HYDRUS
 ******* None                                                                    
 Date: 395.15.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 



                               Node( 31)

         time         h        theta    Temp   
          1.0000     -493.33  0.1262   20.000
          2.0000     -464.65  0.1306   20.000
          3.0000     -453.27  0.1324   20.000
          4.0000     -453.74  0.1324   20.000
          5.0000     -457.43  0.1317   20.000
          6.0000     -463.23  0.1308   20.000
          7.0000     -470.45  0.1296   20.000
          8.0000     -478.61  0.1283   20.000
          9.0000     -487.55  0.1269   20.000
         10.0000     -497.85  0.1257   20.000
         11.0000     -508.12  0.1245   20.000
         12.0000     -518.88  0.1233   20.000
         13.0000     -531.06  0.1219   20.000
         14.0000     -541.39  0.1207   20.000
         15.0000     -551.59  0.1195   20.000
         16.0000     -561.18  0.1184   20.000
         17.0000     -570.55  0.1173   20.000
         18.0000     -580.08  0.1162   20.000
         19.0000     -589.15  0.1151   20.000
         20.0000     -587.57  0.1153   20.000
         21.0000     -582.22  0.1160   20.000
         22.0000     -577.54  0.1165   20.000
         23.0000     -500.72  0.1254   20.000
         24.0000     -297.82  0.1642   20.000
         25.0000     -276.59  0.1710   20.000
         26.0000     -287.08  0.1675   20.000
         27.0000     -300.10  0.1634   20.000
         28.0000     -313.17  0.1600   20.000
         29.0000     -325.68  0.1571   20.000
         30.0000     -339.86  0.1539   20.000
         31.0000     -352.57  0.1509   20.000
         32.0000     -363.24  0.1485   20.000
         33.0000     -375.90  0.1456   20.000
         34.0000     -386.41  0.1433   20.000
         35.0000     -398.97  0.1413   20.000
         36.0000     -412.98  0.1390   20.000
         37.0000     -425.35  0.1370   20.000
         38.0000     -432.49  0.1358   20.000
         39.0000     -433.37  0.1357   20.000
         40.0000     -435.83  0.1352   20.000
         41.0000     -440.87  0.1344   20.000
         42.0000     -448.28  0.1332   20.000
         43.0000     -448.87  0.1331   20.000
         44.0000     -344.70  0.1528   20.000
         45.0000     -290.39  0.1665   20.000
         46.0000     -295.57  0.1649   20.000
         47.0000     -305.72  0.1617   20.000
         48.0000     -317.82  0.1589   20.000
         49.0000     -328.76  0.1564   20.000
         50.0000     -338.28  0.1542   20.000
         51.0000     -350.04  0.1516   20.000
         52.0000     -362.26  0.1488   20.000
         53.0000     -375.43  0.1458   20.000
         54.0000     -389.09  0.1429   20.000
         55.0000     -401.63  0.1408   20.000
         56.0000     -410.94  0.1393   20.000
         57.0000     -400.59  0.1410   20.000
         58.0000     -370.40  0.1469   20.000
         59.0000     -364.85  0.1482   20.000
         60.0000     -368.63  0.1473   20.000
         61.0000     -371.83  0.1466   20.000
         62.0000     -371.62  0.1466   20.000
         63.0000     -378.40  0.1451   20.000
         64.0000     -393.18  0.1422   20.000
         65.0000     -408.09  0.1398   20.000
         66.0000     -424.75  0.1371   20.000
         67.0000     -352.61  0.1510   20.000
         68.0000     -271.47  0.1726   20.000
         69.0000     -280.75  0.1696   20.000
         70.0000     -296.01  0.1647   20.000
         71.0000     -315.77  0.1594   20.000
         72.0000     -335.71  0.1548   20.000
         73.0000     -354.75  0.1505   20.000
         74.0000     -374.60  0.1459   20.000
         75.0000     -394.27  0.1420   20.000
         76.0000     -413.87  0.1388   20.000
         77.0000     -431.84  0.1359   20.000
         78.0000     -269.97  0.1730   20.000
         79.0000     -186.07  0.2073   20.000
         80.0000     -199.29  0.2006   20.000
         81.0000     -219.49  0.1917   20.000
         82.0000     -225.71  0.1890   20.000
         83.0000     -161.26  0.2220   20.000
         84.0000     -167.45  0.2183   20.000
         85.0000     -184.30  0.2083   20.000
         86.0000     -200.64  0.2000   20.000
         87.0000     -215.53  0.1935   20.000
         88.0000     -229.09  0.1876   20.000
         89.0000     -241.46  0.1821   20.000
         90.0000     -251.53  0.1789   20.000
         91.0000     -258.44  0.1767   20.000
         92.0000     -267.64  0.1738   20.000
         93.0000     -278.26  0.1704   20.000
         94.0000     -281.69  0.1693   20.000
         95.0000     -288.71  0.1671   20.000
         96.0000     -304.41  0.1622   20.000
         97.0000     -319.62  0.1585   20.000
         98.0000     -329.37  0.1563   20.000
         99.0000     -342.46  0.1533   20.000
        100.0000     -359.28  0.1494   20.000
        101.0000     -377.82  0.1452   20.000
        102.0000     -398.61  0.1413   20.000
        103.0000     -419.64  0.1379   20.000
        104.0000     -441.62  0.1343   20.000
        105.0000     -463.63  0.1307   20.000
        106.0000     -486.69  0.1270   20.000
        107.0000     -509.49  0.1243   20.000
        108.0000     -531.68  0.1218   20.000
        109.0000     -546.55  0.1201   20.000
        110.0000     -566.27  0.1178   20.000
        111.0000     -586.99  0.1154   20.000
        112.0000     -607.63  0.1130   20.000
        113.0000     -628.89  0.1111   20.000
        114.0000     -650.54  0.1093   20.000
        115.0000     -669.21  0.1078   20.000
        116.0000     -688.65  0.1062   20.000
        117.0000     -709.08  0.1045   20.000
        118.0000     -730.39  0.1028   20.000
        119.0000     -750.12  0.1012   20.000
        120.0000     -768.95  0.0997   20.000
        121.0000     -785.96  0.0985   20.000
        122.0000     -803.23  0.0976   20.000
        123.0000     -821.08  0.0965   20.000
        124.0000     -830.68  0.0960   20.000
        125.0000     -723.00  0.1034   20.000
        126.0000     -599.70  0.1140   20.000
        127.0000     -578.69  0.1164   20.000
        128.0000     -584.55  0.1157   20.000
        129.0000     -595.12  0.1145   20.000
        130.0000     -615.60  0.1122   20.000
        131.0000     -649.16  0.1094   20.000
        132.0000     -676.48  0.1072   20.000
        133.0000     -648.37  0.1095   20.000
        134.0000     -636.03  0.1105   20.000
        135.0000     -608.33  0.1129   20.000
        136.0000     -449.42  0.1331   20.000
        137.0000     -433.54  0.1356   20.000
        138.0000     -448.54  0.1332   20.000
        139.0000     -480.09  0.1281   20.000
        140.0000     -513.19  0.1239   20.000
        141.0000     -524.50  0.1226   20.000
        142.0000     -548.27  0.1199   20.000
        143.0000     -574.07  0.1169   20.000
        144.0000     -606.37  0.1132   20.000
        145.0000     -647.84  0.1095   20.000
        146.0000     -690.38  0.1061   20.000
        147.0000     -728.45  0.1030   20.000
        148.0000     -761.40  0.1003   20.000
        149.0000     -785.06  0.0986   20.000
        150.0000     -440.31  0.1346   20.000
        151.0000     -401.70  0.1409   20.000
        152.0000     -432.46  0.1358   20.000
        153.0000     -465.19  0.1304   20.000
        154.0000     -498.11  0.1257   20.000
        155.0000     -533.79  0.1215   20.000
        156.0000     -444.92  0.1338   20.000
        157.0000     -296.88  0.1646   20.000
        158.0000     -313.41  0.1599   20.000
        159.0000     -343.53  0.1530   20.000
        160.0000     -375.12  0.1458   20.000
        161.0000     -416.63  0.1384   20.000
        162.0000     -456.97  0.1318   20.000
        163.0000     -496.66  0.1258   20.000
        164.0000     -523.60  0.1227   20.000
        165.0000     -554.34  0.1192   20.000
        166.0000     -591.57  0.1149   20.000
        167.0000     -633.95  0.1107   20.000
        168.0000     -675.82  0.1072   20.000
        169.0000     -712.56  0.1042   20.000
        170.0000     -748.93  0.1013   20.000
        171.0000     -786.74  0.0985   20.000
        172.0000     -824.03  0.0964   20.000
        173.0000     -857.96  0.0944   20.000
        174.0000     -880.24  0.0931   20.000
        175.0000     -908.32  0.0915   20.000
        176.0000     -939.35  0.0898   20.000
        177.0000     -956.89  0.0887   20.000
        178.0000     -969.52  0.0880   20.000
        179.0000     -991.81  0.0870   20.000
        180.0000    -1015.29  0.0861   20.000
        181.0000    -1039.09  0.0851   20.000
        182.0000    -1066.48  0.0840   20.000
        183.0000    -1090.79  0.0830   20.000
        184.0000    -1114.16  0.0821   20.000
        185.0000    -1117.27  0.0819   20.000
        186.0000     -990.68  0.0871   20.000
        187.0000     -794.07  0.0981   20.000
        188.0000     -764.82  0.1000   20.000
        189.0000     -795.07  0.0980   20.000
        190.0000     -837.59  0.0956   20.000
