 ******* Program HYDRUS
 ******* None                                                                    
 Date: 395.15.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       14  0.1000000E+01  0.20873E+00    3       30    -4    -5     T
       27  0.2000000E+01  0.21151E+00    2       56    -4    -5     T
       30  0.3000000E+01  0.37500E+00    2       62    -4    -5     T
       32  0.4000000E+01  0.66667E+00    2       66    -4    -5     T
       34  0.5000000E+01  0.50000E+00    2       70    -4    -5     T
       35  0.6000000E+01  0.10000E+01    2       72    -4    -5     T
       36  0.7000000E+01  0.10000E+01    3       75    -4    -5     T
       37  0.8000000E+01  0.10000E+01    3       78    -4    -5     T
       38  0.9000000E+01  0.10000E+01    2       80    -4    -5     T
       39  0.1000000E+02  0.10000E+01    3       83    -4    -5     T
       40  0.1100000E+02  0.10000E+01    2       85    -4    -5     T
       41  0.1200000E+02  0.10000E+01    2       87    -4    -5     T
       42  0.1300000E+02  0.10000E+01    3       90    -4    -5     T
       43  0.1400000E+02  0.10000E+01    3       93    -4    -5     T
       44  0.1500000E+02  0.10000E+01    3       96    -4    -5     T
       45  0.1600000E+02  0.10000E+01    3       99    -4    -5     T
       46  0.1700000E+02  0.10000E+01    2      101    -4    -5     T
       47  0.1800000E+02  0.10000E+01    3      104    -4    -5     T
       60  0.1900000E+02  0.21151E+00    3      135    -4    -5     T
       64  0.2000000E+02  0.25000E+00    2      145    -4    -5     T
       66  0.2100000E+02  0.66667E+00    2      149    -4    -5     T
       79  0.2200000E+02  0.21151E+00    2      175    -4    -5     T
       98  0.2300000E+02  0.14445E+00    5      243    -4    -5     T
      111  0.2400000E+02  0.21151E+00    3      271    -4    -5     T
      115  0.2500000E+02  0.25000E+00    2      282    -4    -5     T
      117  0.2600000E+02  0.66667E+00    3      287    -4    -5     T
      119  0.2700000E+02  0.50000E+00    2      291    -4    -5     T
      120  0.2800000E+02  0.10000E+01    2      293    -4    -5     T
      121  0.2900000E+02  0.10000E+01    2      295    -4    -5     T
      122  0.3000000E+02  0.10000E+01    3      298    -4    -5     T
      123  0.3100000E+02  0.10000E+01    2      300    -4    -5     T
      124  0.3200000E+02  0.10000E+01    3      303    -4    -5     T
      125  0.3300000E+02  0.10000E+01    3      306    -4    -5     T
      126  0.3400000E+02  0.10000E+01    2      308    -4    -5     T
      127  0.3500000E+02  0.10000E+01    3      311    -4    -5     T
      128  0.3600000E+02  0.10000E+01    3      314    -4    -5     T
      141  0.3700000E+02  0.21151E+00    2      340    -4    -5     T
      154  0.3800000E+02  0.21151E+00    2      366    -4    -5     T
      157  0.3900000E+02  0.37500E+00    2      373    -4    -5     T
      170  0.4000000E+02  0.21151E+00    2      399    -4    -5     T
      173  0.4100000E+02  0.37500E+00    2      405    -4    -5     T
      175  0.4200000E+02  0.66667E+00    2      409    -4    -5     T
      189  0.4300000E+02  0.20873E+00    3      444    -4    -5     T
      203  0.4400000E+02  0.15040E+00    3      481    -4    -5     T
      207  0.4500000E+02  0.44444E+00    4      495    -4    -5     T
      220  0.4600000E+02  0.21151E+00    2      521    -4    -5     T
      223  0.4700000E+02  0.37500E+00    2      527    -4    -5     T
      225  0.4800000E+02  0.66667E+00    2      531    -4    -5     T
      227  0.4900000E+02  0.50000E+00    2      535    -4    -5     T
      228  0.5000000E+02  0.10000E+01    2      537    -4    -5     T
      229  0.5100000E+02  0.10000E+01    3      540    -4    -5     T
      230  0.5200000E+02  0.10000E+01    2      542    -4    -5     T
      231  0.5300000E+02  0.10000E+01    2      544    -4    -5     T
      232  0.5400000E+02  0.10000E+01    2      546    -4    -5     T
      233  0.5500000E+02  0.10000E+01    2      548    -4    -5     T
      246  0.5600000E+02  0.21151E+00    2      574    -4    -5     T
      259  0.5700000E+02  0.21151E+00    3      607    -4    -5     T
      263  0.5800000E+02  0.25000E+00    2      617    -4    -5     T
      276  0.5900000E+02  0.21151E+00    2      643    -4    -5     T
      279  0.6000000E+02  0.37500E+00    2      649    -4    -5     T
      292  0.6100000E+02  0.21151E+00    2      675    -4    -5     T
      295  0.6200000E+02  0.37500E+00    2      682    -4    -5     T
      297  0.6300000E+02  0.66667E+00    3      687    -4    -5     T
      299  0.6400000E+02  0.50000E+00    2      692    -4    -5     T
      300  0.6500000E+02  0.10000E+01    3      695    -4    -5     T
      301  0.6600000E+02  0.10000E+01    3      698    -4    -5     T
      324  0.6700000E+02  0.87616E-01    3      780    -4    -5     T
      330  0.6800000E+02  0.19048E+00    2      799    -4    -5     T
      333  0.6900000E+02  0.33333E+00    2      805    -4    -5     T
      335  0.7000000E+02  0.50000E+00    2      809    -4    -5     T
      337  0.7100000E+02  0.50000E+00    2      813    -4    -5     T
      338  0.7200000E+02  0.10000E+01    2      815    -4    -5     T
      339  0.7300000E+02  0.10000E+01    2      817    -4    -5     T
      340  0.7400000E+02  0.10000E+01    3      820    -4    -5     T
      341  0.7500000E+02  0.10000E+01    2      822    -4    -5     T
      342  0.7600000E+02  0.10000E+01    3      825    -4    -5     T
      343  0.7700000E+02  0.10000E+01    2      827    -4    -5     T
      373  0.7800000E+02  0.14272E+00    5      944    -4    -5     T
      386  0.7900000E+02  0.21151E+00    3      975    -4    -5     T
      390  0.8000000E+02  0.25000E+00    2      986    -4    -5     T
      392  0.8100000E+02  0.66667E+00    3      991    -4    -5     T
      405  0.8200000E+02  0.21151E+00    2     1017    -4    -5     T
      420  0.8300000E+02  0.13915E+00    3     1058    -4    -5     T
      433  0.8400000E+02  0.21151E+00    2     1084    -4    -5     T
      446  0.8500000E+02  0.21151E+00    2     1110    -4    -5     T
      449  0.8600000E+02  0.37500E+00    2     1116    -4    -5     T
      451  0.8700000E+02  0.66667E+00    2     1120    -4    -5     T
      453  0.8800000E+02  0.50000E+00    2     1124    -4    -5     T
      454  0.8900000E+02  0.10000E+01    2     1126    -4    -5     T
      467  0.9000000E+02  0.21151E+00    2     1152    -4    -5     T
      480  0.9100000E+02  0.21151E+00    2     1178    -4    -5     T
      493  0.9200000E+02  0.21151E+00    2     1204    -4    -5     T
      506  0.9300000E+02  0.21151E+00    2     1230    -4    -5     T
      519  0.9400000E+02  0.21151E+00    2     1256    -4    -5     T
      522  0.9500000E+02  0.37500E+00    2     1262    -4    -5     T
      524  0.9600000E+02  0.66667E+00    2     1266    -4    -5     T
      537  0.9700000E+02  0.21151E+00    2     1292    -4    -5     T
      540  0.9800000E+02  0.37500E+00    2     1298    -4    -5     T
      542  0.9900000E+02  0.66667E+00    3     1303    -4    -5     T
      544  0.1000000E+03  0.50000E+00    2     1307    -4    -5     T
      545  0.1010000E+03  0.10000E+01    3     1310    -4    -5     T
      546  0.1020000E+03  0.10000E+01    3     1313    -4    -5     T
      547  0.1030000E+03  0.10000E+01    3     1316    -4    -5     T
      548  0.1040000E+03  0.10000E+01    5     1321    -4    -5     T
