 ******* Program HYDRUS
 ******* None                                                                    
 Date: 395.15.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.89164E-02 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.89164E-02 -0.27782E+03 -0.40575E+03 -0.50000E+03  0.00000E+00  0.00000E+00  0.13030E+02  0.51000E+00  0.00000E+00     14  0.00000E+00      0.000
       2.0000 -0.20000E-01  0.18425E-01 -0.20000E-01  0.18425E-01 -0.89163E-02 -0.53000E+00  0.33070E-01 -0.53000E+00  0.33070E-01 -0.17833E-01 -0.37129E+03 -0.40598E+03 -0.50000E+03  0.00000E+00  0.93859E-06  0.13023E+02  0.53000E+00  0.00000E+00     27  0.00000E+00      0.000
       3.0000  0.33944E-01  0.31326E-01  0.33944E-01  0.31326E-01 -0.89174E-02 -0.49606E+00  0.64396E-01 -0.49614E+00  0.64396E-01 -0.26750E-01 -0.43155E+03 -0.42809E+03 -0.49997E+03  0.00000E+00  0.93859E-06  0.12952E+02  0.53000E+00  0.33863E-01     30  0.00000E+00      0.000
       4.0000  0.00000E+00  0.27483E-01 -0.97731E-07  0.27483E-01 -0.89233E-02 -0.49606E+00  0.91879E-01 -0.49611E+00  0.91879E-01 -0.35671E-01 -0.44344E+03 -0.44150E+03 -0.49980E+03  0.00000E+00  0.93859E-06  0.12914E+02  0.53000E+00  0.33895E-01     32  0.00000E+00      0.000
       5.0000  0.33578E-01  0.22512E-01  0.33578E-01  0.22512E-01 -0.89399E-02 -0.46248E+00  0.11439E+00 -0.46247E+00  0.11439E+00 -0.44607E-01 -0.48266E+03 -0.45884E+03 -0.49939E+03  0.00000E+00  0.93859E-06  0.12847E+02  0.53000E+00  0.67535E-01     34  0.00000E+00      0.000
       6.0000  0.37131E-01  0.27790E-01  0.36999E-01  0.27790E-01 -0.89691E-02 -0.42535E+00  0.14218E+00 -0.42547E+00  0.14218E+00 -0.53576E-01 -0.51404E+03 -0.47553E+03 -0.49860E+03  0.00000E+00  0.93859E-06  0.12778E+02  0.53000E+00  0.10453E+00     35  0.00000E+00      0.000
       7.0000  0.61359E-01  0.19826E-01  0.61558E-01  0.19826E-01 -0.90118E-02 -0.36399E+00  0.16201E+00 -0.36391E+00  0.16201E+00 -0.62588E-01 -0.57345E+03 -0.50012E+03 -0.49761E+03  0.00000E+00  0.93859E-06  0.12680E+02  0.53000E+00  0.16609E+00     36  0.00000E+00      0.000
       8.0000  0.45805E-01  0.17215E-01  0.45870E-01  0.17215E-01 -0.90577E-02 -0.31818E+00  0.17922E+00 -0.31804E+00  0.17922E+00 -0.71645E-01 -0.59564E+03 -0.51812E+03 -0.49646E+03  0.00000E+00  0.93859E-06  0.12605E+02  0.53000E+00  0.21196E+00     37  0.00000E+00      0.000
