

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

     1.00000 -0.510000E+00  0.146450E-01 -0.510000E+00  0.146450E-01 -0.494503E-02   -223.542   -387.997   -500.000       1
     2.00000 -0.530000E+00  0.330700E-01 -0.530001E+00  0.330700E-01 -0.989006E-02   -326.967   -380.901   -500.000       2
     3.00000 -0.496056E+00  0.643960E-01 -0.496138E+00  0.643960E-01 -0.148351E-01   -393.553   -399.790   -499.998       3
     4.00000 -0.496056E+00  0.918790E-01 -0.496106E+00  0.918790E-01 -0.197804E-01   -407.985   -415.012   -499.971       4
     5.00000 -0.462478E+00  0.114391E+00 -0.462466E+00  0.114391E+00 -0.247273E-01   -461.892   -436.479   -499.880       5
     6.00000 -0.425347E+00  0.142181E+00 -0.425466E+00  0.142181E+00 -0.296794E-01   -504.029   -456.682   -499.621       6
     7.00000 -0.363988E+00  0.162007E+00 -0.363908E+00  0.162007E+00 -0.346411E-01   -592.242   -486.439   -499.208       7
     8.00000 -0.318183E+00  0.179222E+00 -0.318038E+00  0.179222E+00 -0.396150E-01   -627.939   -508.809   -498.626       8
     9.00000 -0.277535E+00  0.202088E+00 -0.277531E+00  0.202088E+00 -0.446035E-01   -661.861   -528.978   -497.897       9
    10.00000 -0.219581E+00  0.223838E+00 -0.219549E+00  0.223838E+00 -0.496100E-01   -767.621   -560.160   -497.073      10
    11.00000 -0.169124E+00  0.267209E+00 -0.169633E+00  0.267209E+00 -0.546352E-01   -835.103   -587.702   -496.183      11
    12.00000 -0.169124E+00  0.336740E+00 -0.170287E+00  0.336740E+00 -0.596792E-01   -728.517   -599.085   -495.281      12
    13.00000 -0.122451E+00  0.367016E+00 -0.122633E+00  0.367016E+00 -0.647412E-01   -942.181   -649.326   -494.415      13
    14.00000 -0.721331E-01  0.399647E+00 -0.723734E-01  0.399647E+00 -0.698196E-01  -1124.627   -686.940   -493.639      14
    15.00000 -0.121308E-02  0.417441E+00 -0.106689E-02  0.417425E+00 -0.749114E-01  -1728.149   -751.659   -492.994      15
    16.00000  0.511129E-01  0.436466E+00  0.512456E-01  0.436415E+00 -0.800129E-01  -1949.850   -792.267   -492.531      16
    17.00000  0.101479E+00  0.463071E+00  0.101475E+00  0.462888E+00 -0.851196E-01  -2339.941   -838.476   -492.279      17
    18.00000  0.101479E+00  0.502830E+00  0.101060E+00  0.502647E+00 -0.902272E-01  -1383.529   -819.668   -492.238      18
    19.00000 -0.268521E+00  0.536019E+00 -0.268938E+00  0.535836E+00 -0.953342E-01   -340.938   -619.852   -492.325      19
    20.00000 -0.268521E+00  0.536019E+00 -0.268800E+00  0.535836E+00 -0.100436E+00   -524.959   -600.329   -492.665      20
    21.00000 -0.217245E+00  0.580189E+00 -0.217892E+00  0.580006E+00 -0.105525E+00   -705.739   -627.943   -493.256      21
    22.00000 -0.347245E+00  0.594202E+00 -0.347884E+00  0.594019E+00 -0.110603E+00   -438.767   -577.790   -494.005      22
    23.00000 -0.222724E+01  0.594202E+00 -0.222788E+01  0.594019E+00 -0.115663E+00   -102.442   -240.846   -494.949      23
    24.00000 -0.317724E+01  0.613531E+00 -0.317789E+01  0.613348E+00 -0.120701E+00   -114.694   -160.846   -496.076      24
    25.00000 -0.315876E+01  0.642187E+00 -0.315946E+01  0.642004E+00 -0.125712E+00   -185.854   -192.195   -497.342      25
    26.00000 -0.313475E+01  0.665492E+00 -0.313540E+01  0.665309E+00 -0.130696E+00   -220.371   -218.733   -498.389      26
    27.00000 -0.308900E+01  0.691639E+00 -0.308969E+01  0.691456E+00 -0.135678E+00   -250.454   -240.571   -497.832      27
