 ******* Program HYDRUS
 ******* None                                                                    
 Date: 527.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 



                               Node( 31)

         time         h        theta    Temp   
          1.0000     -496.82  0.1211   20.000
          2.0000     -469.02  0.1243   20.000
          3.0000     -448.93  0.1269   20.000
          4.0000     -444.30  0.1275   20.000
          5.0000     -445.32  0.1274   20.000
          6.0000     -450.19  0.1268   20.000
          7.0000     -456.81  0.1259   20.000
          8.0000     -464.48  0.1249   20.000
          9.0000     -472.66  0.1239   20.000
         10.0000     -481.96  0.1227   20.000
         11.0000     -492.67  0.1215   20.000
         12.0000     -505.04  0.1204   20.000
         13.0000     -518.96  0.1191   20.000
         14.0000     -530.78  0.1180   20.000
         15.0000     -542.14  0.1169   20.000
         16.0000     -552.47  0.1160   20.000
         17.0000     -562.54  0.1151   20.000
         18.0000     -572.94  0.1141   20.000
         19.0000     -583.81  0.1131   20.000
         20.0000     -589.55  0.1125   20.000
         21.0000     -589.70  0.1125   20.000
         22.0000     -587.72  0.1127   20.000
         23.0000     -541.64  0.1170   20.000
         24.0000     -259.24  0.1602   20.000
         25.0000     -228.62  0.1687   20.000
         26.0000     -238.08  0.1655   20.000
         27.0000     -251.47  0.1620   20.000
         28.0000     -265.07  0.1587   20.000
         29.0000     -276.36  0.1560   20.000
         30.0000     -289.57  0.1528   20.000
         31.0000     -302.41  0.1498   20.000
         32.0000     -315.67  0.1473   20.000
         33.0000     -330.98  0.1446   20.000
         34.0000     -342.99  0.1424   20.000
         35.0000     -354.76  0.1404   20.000
         36.0000     -367.98  0.1380   20.000
         37.0000     -380.96  0.1358   20.000
         38.0000     -390.71  0.1343   20.000
         39.0000     -393.50  0.1340   20.000
         40.0000     -396.90  0.1335   20.000
         41.0000     -402.86  0.1328   20.000
         42.0000     -411.26  0.1317   20.000
         43.0000     -415.55  0.1311   20.000
         44.0000     -304.83  0.1492   20.000
         45.0000     -238.06  0.1655   20.000
         46.0000     -243.46  0.1639   20.000
         47.0000     -254.03  0.1614   20.000
         48.0000     -265.50  0.1586   20.000
         49.0000     -275.70  0.1562   20.000
         50.0000     -284.59  0.1540   20.000
         51.0000     -295.94  0.1513   20.000
         52.0000     -309.09  0.1484   20.000
         53.0000     -324.77  0.1457   20.000
         54.0000     -339.12  0.1431   20.000
         55.0000     -351.98  0.1408   20.000
         56.0000     -362.21  0.1391   20.000
         57.0000     -359.96  0.1395   20.000
         58.0000     -326.68  0.1453   20.000
         59.0000     -317.23  0.1470   20.000
         60.0000     -320.40  0.1464   20.000
         61.0000     -323.76  0.1458   20.000
         62.0000     -323.09  0.1459   20.000
         63.0000     -331.06  0.1446   20.000
         64.0000     -344.60  0.1422   20.000
         65.0000     -358.57  0.1397   20.000
         66.0000     -375.23  0.1368   20.000
         67.0000     -309.16  0.1484   20.000
         68.0000     -216.00  0.1728   20.000
         69.0000     -225.02  0.1698   20.000
         70.0000     -240.30  0.1648   20.000
         71.0000     -260.22  0.1599   20.000
         72.0000     -279.06  0.1553   20.000
         73.0000     -297.65  0.1509   20.000
         74.0000     -318.49  0.1468   20.000
         75.0000     -337.95  0.1433   20.000
