 ******* Program HYDRUS
 ******* None                                                                    
 Date: 527.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

       14  0.1000000E+01  0.20873E+00    4       37    -4    -5     T
       27  0.2000000E+01  0.21151E+00    2       63    -4    -5     T
       30  0.3000000E+01  0.37500E+00    2       69    -4    -5     T
       32  0.4000000E+01  0.66667E+00    2       73    -4    -5     T
       34  0.5000000E+01  0.50000E+00    2       77    -4    -5     T
       35  0.6000000E+01  0.10000E+01    2       79    -4    -5     T
       36  0.7000000E+01  0.10000E+01    3       82    -4    -5     T
       37  0.8000000E+01  0.10000E+01    3       85    -4    -5     T
       38  0.9000000E+01  0.10000E+01    2       87    -4    -5     T
       39  0.1000000E+02  0.10000E+01    3       90    -4    -5     T
       40  0.1100000E+02  0.10000E+01    3       93    -4    -5     T
       41  0.1200000E+02  0.10000E+01    3       96    -4    -5     T
       42  0.1300000E+02  0.10000E+01    4      100    -4    -5     T
       43  0.1400000E+02  0.10000E+01    3      103    -4    -5     T
       44  0.1500000E+02  0.10000E+01    5      108    -4    -5     T
       45  0.1600000E+02  0.10000E+01    4      112    -4    -5     T
       46  0.1700000E+02  0.10000E+01    3      115    -4    -5     T
       47  0.1800000E+02  0.10000E+01    4      119    -4    -5     T
       64  0.1900000E+02  0.13786E+00    3      169    -4    -5     T
       68  0.2000000E+02  0.44444E+00    2      179    -4    -5     T
       70  0.2100000E+02  0.66667E+00    2      184    -4    -5     T
       83  0.2200000E+02  0.21151E+00    2      210    -4    -5     T
      107  0.2300000E+02  0.85906E-01    3      298    -4    -5     T
      120  0.2400000E+02  0.21151E+00    3      330    -4    -5     T
      124  0.2500000E+02  0.25000E+00    2      343    -4    -5     T
      127  0.2600000E+02  0.33333E+00    2      350    -4    -5     T
      129  0.2700000E+02  0.50000E+00    2      354    -4    -5     T
      131  0.2800000E+02  0.50000E+00    2      358    -4    -5     T
      132  0.2900000E+02  0.10000E+01    2      360    -4    -5     T
      133  0.3000000E+02  0.10000E+01    3      363    -4    -5     T
      134  0.3100000E+02  0.10000E+01    3      366    -4    -5     T
      135  0.3200000E+02  0.10000E+01    2      368    -4    -5     T
      136  0.3300000E+02  0.10000E+01    3      371    -4    -5     T
      137  0.3400000E+02  0.10000E+01    3      374    -4    -5     T
      138  0.3500000E+02  0.10000E+01    3      377    -4    -5     T
      139  0.3600000E+02  0.10000E+01    3      380    -4    -5     T
      152  0.3700000E+02  0.21151E+00    2      406    -4    -5     T
      165  0.3800000E+02  0.21151E+00    2      432    -4    -5     T
      169  0.3900000E+02  0.25000E+00    2      442    -4    -5     T
      182  0.4000000E+02  0.21151E+00    2      468    -4    -5     T
      185  0.4100000E+02  0.37500E+00    2      475    -4    -5     T
      187  0.4200000E+02  0.66667E+00    2      479    -4    -5     T
      202  0.4300000E+02  0.14843E+00    3      524    -4    -5     T
      217  0.4400000E+02  0.16698E+00    4      568    -4    -5     T
      222  0.4500000E+02  0.26786E+00    3      585    -4    -5     T
      235  0.4600000E+02  0.21151E+00    2      611    -4    -5     T
      238  0.4700000E+02  0.37500E+00    2      617    -4    -5     T
      240  0.4800000E+02  0.66667E+00    2      621    -4    -5     T
      242  0.4900000E+02  0.50000E+00    2      625    -4    -5     T
      243  0.5000000E+02  0.10000E+01    2      627    -4    -5     T
      244  0.5100000E+02  0.10000E+01    3      630    -4    -5     T
      245  0.5200000E+02  0.10000E+01    3      633    -4    -5     T
      246  0.5300000E+02  0.10000E+01    2      635    -4    -5     T
      247  0.5400000E+02  0.10000E+01    2      637    -4    -5     T
