 ******* Program HYDRUS
 ******* None                                                                    
 Date: 527.**.    Time: ***: 0:**
 Units: L = cm   , T = days , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       1.0000 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.49450E-02 -0.51000E+00  0.14645E-01 -0.51000E+00  0.14645E-01 -0.49450E-02 -0.22354E+03 -0.38800E+03 -0.50000E+03  0.00000E+00  0.00000E+00  0.12575E+02  0.51000E+00  0.00000E+00     14  0.00000E+00      0.000
       2.0000 -0.20000E-01  0.18425E-01 -0.20000E-01  0.18425E-01 -0.49450E-02 -0.53000E+00  0.33070E-01 -0.53000E+00  0.33070E-01 -0.98901E-02 -0.32697E+03 -0.38090E+03 -0.50000E+03  0.00000E+00  0.94842E-06  0.12571E+02  0.53000E+00  0.00000E+00     27  0.00000E+00      0.000
       3.0000  0.33944E-01  0.31326E-01  0.33944E-01  0.31326E-01 -0.49451E-02 -0.49606E+00  0.64396E-01 -0.49614E+00  0.64396E-01 -0.14835E-01 -0.39355E+03 -0.39979E+03 -0.50000E+03  0.00000E+00  0.94842E-06  0.12504E+02  0.53000E+00  0.33863E-01     30  0.00000E+00      0.000
       4.0000  0.00000E+00  0.27483E-01  0.60885E-07  0.27483E-01 -0.49455E-02 -0.49606E+00  0.91879E-01 -0.49611E+00  0.91879E-01 -0.19780E-01 -0.40798E+03 -0.41501E+03 -0.49997E+03  0.00000E+00  0.94842E-06  0.12471E+02  0.53000E+00  0.33895E-01     32  0.00000E+00      0.000
       5.0000  0.33578E-01  0.22512E-01  0.33578E-01  0.22512E-01 -0.49475E-02 -0.46248E+00  0.11439E+00 -0.46247E+00  0.11439E+00 -0.24727E-01 -0.46189E+03 -0.43648E+03 -0.49988E+03  0.00000E+00  0.94842E-06  0.12407E+02  0.53000E+00  0.67536E-01     34  0.00000E+00      0.000
       6.0000  0.37131E-01  0.27790E-01  0.36999E-01  0.27790E-01 -0.49521E-02 -0.42535E+00  0.14218E+00 -0.42547E+00  0.14218E+00 -0.29679E-01 -0.50403E+03 -0.45668E+03 -0.49962E+03  0.00000E+00  0.94842E-06  0.12342E+02  0.53000E+00  0.10453E+00     35  0.00000E+00      0.000
       7.0000  0.61359E-01  0.19826E-01  0.61558E-01  0.19826E-01 -0.49617E-02 -0.36399E+00  0.16201E+00 -0.36391E+00  0.16201E+00 -0.34641E-01 -0.59224E+03 -0.48644E+03 -0.49921E+03  0.00000E+00  0.94842E-06  0.12248E+02  0.53000E+00  0.16609E+00     36  0.00000E+00      0.000
       8.0000  0.45805E-01  0.17215E-01  0.45870E-01  0.17215E-01 -0.49739E-02 -0.31818E+00  0.17922E+00 -0.31804E+00  0.17922E+00 -0.39615E-01 -0.62794E+03 -0.50881E+03 -0.49863E+03  0.00000E+00  0.94842E-06  0.12178E+02  0.53000E+00  0.21196E+00     37  0.00000E+00      0.000
